id,d_c1_h,d_c1_s,d_c1_v,d_c1_pc,d_c2_h,d_c2_s,d_c2_v,d_c2_pc,d_c3_h,d_c3_s,d_c3_v,d_c3_pc
777,32.578379537032376,0.36765497351235377,0.5754071308951207,36.14,7.78046842098013,0.5801921537505474,0.26628537994179713,29.07,219.43009492142332,0.5764188015019249,0.3387406217205823,18.51
966,39.67559887630579,0.16194247233111705,0.8271535071012253,27.32,22.419262990220837,0.44780333646587145,0.6662838482531169,26.29,32.380880397844585,0.2761240240457631,0.7867888749361373,25.59
1450,16.844341720443634,0.30011779296606417,0.46915509976091924,49.12,58.25704676960681,0.08429871150314504,0.6477351404092943,14.31,335.59970754898785,0.1624045866300552,0.38247770947555537,11.75
2669,145.72009839138272,0.17838982116903396,0.39915752455197673,31.57,152.59984948158686,0.1995569080843375,0.3814791569945485,26.61,160.40552459427005,0.19264815213325573,0.3840371435891241,16.82
2670,51.7176108276683,0.8259576988566686,0.8113632905480519,59.56,70.97348572170702,0.5027970552966669,0.4312729207098362,17.04,222.1636070585477,0.52635663768208,0.2430509367787892,8.45
3339,69.00945259747174,0.02741681954169803,0.9905489490853167,44.33,354.8643863026807,0.7087719174078609,0.7325383708075387,20.62,4.689080398630817,0.5299546377512733,0.6126250434159933,17.67
3367,31.525543033811065,0.8747772766282317,0.8034835845005266,49.23,63.14591979781143,0.3328110970310034,0.15777943551313847,27.29,4.809141042599242,0.3556235003229863,0.664442359062281,16.94
3670,29.457601522539058,0.47460761573993593,0.6802709621225782,70.52,60.497992457219446,0.11266690216854648,0.7003789877909831,14.9,127.18196980098726,0.024298828047471188,0.7059536541889677,9.03
4924,78.15065241341505,0.3501955058382984,0.5161711918336113,52.36,111.71809150875504,0.3192416588580522,0.25120645952493376,19.06,37.148740765476624,0.632579738263343,0.5209516751582468,12.35
5196,244.36184404184783,0.9182656512396417,0.09153567731715204,66.74,200.9212321263432,0.35012443579227265,0.6434796074246193,18.22,49.77404970097976,0.6156321350080801,0.48337114567496764,9.78
5921,33.43222607001983,0.6083786553451297,0.5203965581743322,55.57,7.639880236876647,0.7598371919269732,0.2410952809938449,18.33,60.76998062378844,0.2862090596505142,0.8445651164949538,14.93
6434,204.19044963224502,0.3579942355189669,0.8879572499561353,37.93,19.42436012978163,0.44528333341397813,0.6999273613582546,33.22,47.552918074717304,0.08360138672117956,0.9543534911499454,17.75
6441,201.03376281849714,0.24918968463498078,0.7965338230115997,33.14,8.800620704926411,0.75095572088836,0.531502511435934,28.22,49.045531053785446,0.35724106793728594,0.8106868943070639,23.99
6447,11.922699640989611,0.8193929110255102,0.43760156520828425,48.17,57.054851322369025,0.495907369884326,0.7918975323043822,27.26,35.309616083430065,0.6603877518374898,0.567836735400115,17.63
6498,233.56862715016803,0.17818607090130514,0.821060867986373,38.64,8.057818988052132,0.6217400421153112,0.42285945095756367,26.71,28.351594350943238,0.5104385129397666,0.5709848702939396,14.3
8716,32.27277325938733,0.4494876012443959,0.5875643536820858,34.84,10.061585945376338,0.613504225715916,0.49078865847592074,24.13,203.97130168917064,0.2640215655305941,0.6379975943639412,13.88
30695,201.12380300807303,0.5933687671395261,0.4550067900793373,40.75,107.86371196140004,0.2819877962373715,0.13667292336080314,19.07,179.98631281199863,0.4805317421761468,0.27132330840361535,18.3
33610,182.9516564822275,0.7665693995478554,0.19195477351230045,33.81,27.160213672531917,0.42737787955663153,0.6545952984906512,27.55,141.17291593833087,0.47302253251022763,0.2985528966502104,14.04
59852,4.762867307623091,0.24677214739795442,0.8040392079159727,49.07,228.02831740120922,0.015477193911078857,0.9448882455215778,14.54,40.80478367546509,0.3377013792623484,0.8105642592045573,13.93
60389,51.33215313289856,0.18824482070666404,0.6396294873645066,46.75,4.086553733861158,0.09915581284400957,0.15256406346882706,30.01,130.91842563708764,0.3663040036266278,0.2234101471799506,10.23
